N = 4312, комбинаций: 6
N = 5129, комбинаций: 6
N = 6048, комбинаций: 6
N = 7075, комбинаций: 6
N = 8216, комбинаций: 6
N = 9477, комбинаций: 6
N = 10864, комбинаций: 6
N = 12383, комбинаций: 6
N = 14040, комбинаций: 6
N = 15841, комбинаций: 6
N = 17792, комбинаций: 6
N = 19899, комбинаций: 6
N = 22168, комбинаций: 6
N = 24605, комбинаций: 6
N = 27216, комбинаций: 12
N = 30007, комбинаций: 6
N = 32984, комбинаций: 6
N = 36153, комбинаций: 6
N = 39520, комбинаций: 6
N = 43091, комбинаций: 12
N = 46872, комбинаций: 6
N = 686, комбинаций: 3
N = 855, комбинаций: 12
N = 1072, комбинаций: 12
N = 1343, комбинаций: 6
N = 1674, комбинаций: 9
N = 2071, комбинаций: 6
N = 2540, комбинаций: 6
N = 3087, комбинаций: 6
N = 3718, комбинаций: 6
N = 4439, комбинаций: 12
N = 5256, комбинаций: 12
N = 6175, комбинаций: 6
N = 7202, комбинаций: 6
N = 8343, комбинаций: 6
N = 9604, комбинаций: 12
N = 10991, комбинаций: 6
N = 12510, комбинаций: 6
N = 14167, комбинаций: 9
N = 15968, комбинаций: 6
N = 17919, комбинаций: 6
N = 20026, комбинаций: 12
N = 22295, комбинаций: 6
N = 24732, комбинаций: 6
N = 27343, комбинаций: 6
N = 30134, комбинаций: 6
N = 33111, комбинаций: 6
N = 36280, комбинаций: 6
N = 39647, комбинаций: 6
N = 43218, комбинаций: 6
N = 46999, комбинаций: 6
N = 1024, комбинаций: 3
N = 1241, комбинаций: 6
N = 1512, комбинаций: 6
N = 1843, комбинаций: 6
N = 2240, комбинаций: 6
N = 2709, комбинаций: 6
N = 3256, комбинаций: 6
N = 3887, комбинаций: 6
N = 4608, комбинаций: 6
N = 5425, комбинаций: 6
N = 6344, комбинаций: 6
N = 7371, комбинаций: 6
N = 8512, комбинаций: 6
N = 9773, комбинаций: 6
N = 11160, комбинаций: 6
N = 12679, комбинаций: 6
N = 14336, комбинаций: 6
N = 16137, комбинаций: 6
N = 18088, комбинаций: 6
N = 20195, комбинаций: 6
N = 22464, комбинаций: 6
N = 24901, комбинаций: 6
N = 27512, комбинаций: 6
N = 30303, комбинаций: 6
N = 33280, комбинаций: 6
N = 36449, комбинаций: 6
N = 39816, комбинаций: 6
N = 43387, комбинаций: 6
N = 47168, комбинаций: 6
N = 1458, комбинаций: 3
N = 2060, комбинаций: 6
N = 2457, комбинаций: 6
N = 2926, комбинаций: 6
N = 3473, комбинаций: 6
N = 4825, комбинаций: 6
N = 5642, комбинаций: 6
N = 6561, комбинаций: 6
N = 7588, комбинаций: 6
N = 8729, комбинаций: 6
N = 9990, комбинаций: 6
N = 11377, комбинаций: 6
N = 12896, комбинаций: 6
N = 14553, комбинаций: 6
N = 16354, комбинаций: 6
N = 18305, комбинаций: 12
N = 20412, комбинаций: 6
N = 22681, комбинаций: 6
N = 25118, комбинаций: 6
N = 27729, комбинаций: 6
N = 30520, комбинаций: 6
N = 33497, комбинаций: 6
N = 36666, комбинаций: 6
N = 40033, комбинаций: 12
N = 43604, комбинаций: 6
N = 47385, комбинаций: 6
N = 2000, комбинаций: 3
N = 2331, комбинаций: 6
N = 2728, комбинаций: 6
N = 3197, комбинаций: 6
N = 3744, комбинаций: 12
N = 4375, комбинаций: 6
N = 5096, комбинаций: 6
N = 5913, комбинаций: 6
N = 6832, комбинаций: 6
N = 7859, комбинаций: 6
N = 9000, комбинаций: 6
N = 10261, комбинаций: 18
N = 11648, комбинаций: 6
N = 13167, комбинаций: 6
N = 14824, комбинаций: 6
N = 16625, комбинаций: 6
N = 18576, комбинаций: 6
N = 20683, комбинаций: 12
N = 22952, комбинаций: 6
N = 25389, комбинаций: 6
N = 28000, комбинаций: 12
N = 30791, комбинаций: 6
N = 33768, комбинаций: 6
N = 36937, комбинаций: 6
N = 40304, комбинаций: 6
N = 43875, комбинаций: 6
N = 47656, комбинаций: 6
N = 2662, комбинаций: 3
N = 3059, комбинаций: 6
N = 3528, комбинаций: 6
N = 4075, комбинаций: 6
N = 4706, комбинаций: 6
N = 5427, комбинаций: 6
N = 6244, комбинаций: 12
N = 7163, комбинаций: 6
N = 8190, комбинаций: 6
N = 9331, комбинаций: 6
N = 10592, комбинаций: 6
N = 11979, комбинаций: 6
N = 13498, комбинаций: 6
N = 15155, комбинаций: 6
N = 16956, комбинаций: 6
N = 18907, комбинаций: 6
N = 21014, комбинаций: 6
N = 23283, комбинаций: 6
N = 25720, комбинаций: 6
N = 28331, комбинаций: 6
N = 31122, комбинаций: 6
N = 34099, комбинаций: 6
N = 37268, комбинаций: 6
N = 40635, комбинаций: 6
N = 44206, комбинаций: 6
N = 47987, комбинаций: 6
N = 3456, комбинаций: 3
N = 3925, комбинаций: 6
N = 4472, комбинаций: 6
N = 5103, комбинаций: 6
N = 5824, комбинаций: 6
N = 6641, комбинаций: 6
N = 7560, комбинаций: 6
N = 8587, комбинаций: 6
N = 9728, комбинаций: 12
N = 10989, комбинаций: 12
N = 12376, комбинаций: 6
N = 13895, комбинаций: 6
N = 15552, комбинаций: 6
N = 17353, комбинаций: 6
N = 19304, комбинаций: 6
N = 21411, комбинаций: 6
N = 23680, комбинаций: 6
N = 26117, комбинаций: 6
N = 28728, комбинаций: 6
N = 31519, комбинаций: 6
N = 34496, комбинаций: 6
N = 37665, комбинаций: 6
N = 41032, комбинаций: 6
N = 44603, комбинаций: 12
N = 48384, комбинаций: 6
N = 4394, комбинаций: 3
N = 4941, комбинаций: 12
N = 5572, комбинаций: 6
N = 6293, комбинаций: 6
N = 7110, комбинаций: 6
N = 8029, комбинаций: 6
N = 9056, комбинаций: 6
N = 10197, комбинаций: 6
N = 11458, комбинаций: 6
N = 12845, комбинаций: 6
N = 14364, комбинаций: 12
N = 16021, комбинаций: 6
N = 17822, комбинаций: 6
N = 19773, комбинаций: 6
N = 21880, комбинаций: 6
N = 24149, комбинаций: 6
N = 26586, комбинаций: 6
N = 29197, комбинаций: 6
N = 31988, комбинаций: 6
N = 34965, комбинаций: 6
N = 38134, комбинаций: 12
N = 41501, комбинаций: 6
N = 45072, комбинаций: 18
N = 48853, комбинаций: 6
N = 5488, комбинаций: 3
N = 6119, комбинаций: 6
N = 6840, комбинаций: 12
N = 7657, комбинаций: 6
N = 8576, комбинаций: 12
N = 9603, комбинаций: 6
N = 10744, комбинаций: 6
N = 12005, комбинаций: 6
N = 13392, комбинаций: 9
N = 14911, комбинаций: 6
N = 16568, комбинаций: 6
N = 18369, комбинаций: 12
N = 20320, комбинаций: 12
N = 22427, комбинаций: 6
N = 24696, комбинаций: 6
N = 27133, комбинаций: 12
N = 29744, комбинаций: 12
N = 32535, комбинаций: 6
N = 35512, комбинаций: 12
N = 38681, комбинаций: 12
N = 42048, комбинаций: 12
N = 45619, комбинаций: 6
N = 49400, комбинаций: 6
N = 6750, комбинаций: 3
N = 7471, комбинаций: 6
N = 8288, комбинаций: 6
N = 9207, комбинаций: 6
N = 10234, комбинаций: 6
N = 11375, комбинаций: 6
N = 12636, комбинаций: 6
N = 14023, комбинаций: 6
N = 15542, комбинаций: 6
N = 17199, комбинаций: 6
N = 19000, комбинаций: 6
N = 20951, комбинаций: 6
N = 23058, комбинаций: 6
N = 25327, комбинаций: 6
N = 27764, комбинаций: 6
N = 30375, комбинаций: 6
N = 33166, комбинаций: 6
N = 36143, комбинаций: 6
N = 42679, комбинаций: 6
N = 46250, комбинаций: 6
N = 8192, комбинаций: 3
N = 9009, комбинаций: 6
N = 9928, комбинаций: 6
N = 10955, комбинаций: 6
N = 12096, комбинаций: 6
N = 13357, комбинаций: 12
N = 14744, комбинаций: 6
N = 16263, комбинаций: 6
N = 17920, комбинаций: 12
N = 19721, комбинаций: 6
N = 21672, комбинаций: 6
N = 23779, комбинаций: 6
N = 26048, комбинаций: 6
N = 28485, комбинаций: 6
N = 31096, комбинаций: 6
N = 33887, комбинаций: 6
N = 36864, комбинаций: 6
N = 43400, комбинаций: 6
N = 46971, комбинаций: 6
N = 9826, комбинаций: 3
N = 10745, комбинаций: 12
N = 11772, комбинаций: 6
N = 12913, комбинаций: 6
N = 14174, комбинаций: 6
N = 15561, комбинаций: 6
N = 17080, комбинаций: 12
N = 18737, комбинаций: 6
N = 20538, комбинаций: 12
N = 22489, комбинаций: 6
N = 24596, комбинаций: 6
N = 26865, комбинаций: 6
N = 29302, комбинаций: 6
N = 31913, комбинаций: 6
N = 34704, комбинаций: 6
N = 37681, комбинаций: 6
N = 40850, комбинаций: 6
N = 44217, комбинаций: 6
N = 47788, комбинаций: 6
N = 11664, комбинаций: 3
N = 12691, комбинаций: 6
N = 15093, комбинаций: 12
N = 16480, комбинаций: 12
N = 17999, комбинаций: 6
N = 19656, комбинаций: 6
N = 21457, комбинаций: 6
N = 23408, комбинаций: 12
N = 25515, комбинаций: 6
N = 27784, комбинаций: 6
N = 30221, комбинаций: 6
N = 35623, комбинаций: 6
N = 38600, комбинаций: 6
N = 41769, комбинаций: 6
N = 45136, комбинаций: 12
N = 48707, комбинаций: 6
N = 13718, комбинаций: 3
N = 14859, комбинаций: 6
N = 16120, комбинаций: 6
N = 17507, комбинаций: 6
N = 19026, комбинаций: 6
N = 22484, комбинаций: 6
N = 24435, комбинаций: 6
N = 26542, комбинаций: 6
N = 28811, комбинаций: 6
N = 31248, комбинаций: 6
N = 33859, комбинаций: 6
N = 36650, комбинаций: 6
N = 39627, комбинаций: 6
N = 42796, комбинаций: 6
N = 46163, комбинаций: 6
N = 49734, комбинаций: 6
N = 16000, комбинаций: 3
N = 17261, комбинаций: 6
N = 18648, комбинаций: 12
N = 20167, комбинаций: 6
N = 21824, комбинаций: 6
N = 23625, комбинаций: 12
N = 25576, комбинаций: 6
N = 27683, комбинаций: 6
N = 29952, комбинаций: 12
N = 32389, комбинаций: 6
N = 35000, комбинаций: 6
N = 37791, комбинаций: 6
N = 40768, комбинаций: 6
N = 43937, комбинаций: 6
N = 47304, комбинаций: 6
N = 18522, комбинаций: 3
N = 19909, комбинаций: 6
N = 21428, комбинаций: 6
N = 23085, комбинаций: 12
N = 24886, комбинаций: 6
N = 26837, комбинаций: 6
N = 28944, комбинаций: 12
N = 31213, комбинаций: 6
N = 33650, комбинаций: 6
N = 36261, комбинаций: 6
N = 39052, комбинаций: 6
N = 42029, комбинаций: 12
N = 45198, комбинаций: 9
N = 48565, комбинаций: 6
N = 21296, комбинаций: 3
N = 22815, комбинаций: 6
N = 24472, комбинаций: 6
N = 26273, комбинаций: 6
N = 28224, комбинаций: 6
N = 30331, комбинаций: 6
N = 32600, комбинаций: 6
N = 35037, комбинаций: 6
N = 37648, комбинаций: 6
N = 40439, комбинаций: 6
N = 43416, комбинаций: 6
N = 46585, комбинаций: 6
N = 49952, комбинаций: 12
N = 24334, комбинаций: 3
N = 25991, комбинаций: 6
N = 27792, комбинаций: 12
N = 29743, комбинаций: 6
N = 31850, комбинаций: 6
N = 34119, комбинаций: 6
N = 36556, комбинаций: 6
N = 39167, комбинаций: 6
N = 41958, комбинаций: 6
N = 44935, комбинаций: 12
N = 48104, комбинаций: 6
N = 27648, комбинаций: 3
N = 29449, комбинаций: 6
N = 31400, комбинаций: 6
N = 33507, комбинаций: 6
N = 35776, комбинаций: 6
N = 38213, комбинаций: 6
N = 40824, комбинаций: 6
N = 43615, комбинаций: 6
N = 46592, комбинаций: 6
N = 49761, комбинаций: 12
N = 31250, комбинаций: 3
N = 33201, комбинаций: 6
N = 35308, комбинаций: 12
N = 37577, комбинаций: 6
N = 40014, комбинаций: 6
N = 42625, комбинаций: 6
N = 45416, комбинаций: 6
N = 48393, комбинаций: 6
N = 35152, комбинаций: 3
N = 37259, комбинаций: 6
N = 39528, комбинаций: 18
N = 41965, комбинаций: 6
N = 44576, комбинаций: 6
N = 47367, комбинаций: 6
N = 39366, комбинаций: 3
N = 41635, комбинаций: 12
N = 44072, комбинаций: 6
N = 49474, комбинаций: 6
N = 43904, комбинаций: 3
N = 46341, комбинаций: 6
N = 48952, комбинаций: 6
N = 48778, комбинаций: 3
N = 10, комбинаций: 3
N = 29, комбинаций: 3
N = 66, комбинаций: 3
N = 127, комбинаций: 3
N = 218, комбинаций: 3
N = 345, комбинаций: 3
N = 514, комбинаций: 3
N = 731, комбинаций: 3
N = 1002, комбинаций: 3
N = 1333, комбинаций: 3
N = 1730, комбинаций: 9
N = 2199, комбинаций: 3
N = 2746, комбинаций: 3
N = 3377, комбинаций: 3
N = 4098, комбинаций: 3
N = 4915, комбинаций: 3
N = 5834, комбинаций: 3
N = 6861, комбинаций: 3
N = 8002, комбинаций: 3
N = 9263, комбинаций: 3
N = 10650, комбинаций: 3
N = 12169, комбинаций: 3
N = 13826, комбинаций: 3
N = 15627, комбинаций: 3
N = 17578, комбинаций: 3
N = 19685, комбинаций: 3
N = 21954, комбинаций: 3
N = 24391, комбинаций: 3
N = 27002, комбинаций: 9
N = 29793, комбинаций: 3
N = 32770, комбинаций: 3
N = 35939, комбинаций: 3
N = 39306, комбинаций: 3
N = 42877, комбинаций: 3
N = 46658, комбинаций: 3
N = 17, комбинаций: 3
N = 36, комбинаций: 6
N = 73, комбинаций: 6
N = 134, комбинаций: 6
N = 225, комбинаций: 6
N = 352, комбинаций: 6
N = 521, комбинаций: 6
N = 738, комбинаций: 6
N = 1009, комбинаций: 12
N = 1340, комбинаций: 6
N = 1737, комбинаций: 12
N = 2206, комбинаций: 6
N = 2753, комбинаций: 6
N = 3384, комбинаций: 6
N = 4105, комбинаций: 12
N = 4922, комбинаций: 12
N = 5841, комбинаций: 6
N = 6868, комбинаций: 6
N = 8009, комбинаций: 6
N = 9270, комбинаций: 6
N = 10657, комбинаций: 12
N = 12176, комбинаций: 9
N = 13833, комбинаций: 12
N = 15634, комбинаций: 6
N = 17585, комбинаций: 6
N = 19692, комбинаций: 6
N = 21961, комбинаций: 6
N = 24398, комбинаций: 9
N = 27009, комбинаций: 6
N = 29800, комбинаций: 6
N = 32777, комбинаций: 6
N = 35946, комбинаций: 12
N = 39313, комбинаций: 12
N = 42884, комбинаций: 6
N = 46665, комбинаций: 6
N = 55, комбинаций: 3
N = 92, комбинаций: 6
